	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
109	DB03496	Alvocidib	Investigated for use/treatment in esophageal cancer, leukemia (lymphoid), lung cancer, liver cancer, and lymphoma (unspecified).	CDK6, PYGM, CDK9, CDK4, PYGB, EGFR, CDK8, CDK1, CDK7, CDK5, CDK2	-0.8477376300452232	-1.4892931441757313	<0.0001
110	DB07997	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE		PKIA, PRKACA	-0.8409967099385032	1.0617098537948757	<0.0001
111	DB02701	Nicotinamide		BST1, SIRT5, PARP1, LDHA	-0.8408833511697685	-1.3108673227160195	<0.0001
112	DB01023	Felodipine	For the treatment of mild to moderate essential hypertension. 	CACNA2D2, CACNA1S, CACNA1H, PDE1A, CALM1, CACNA1C, CACNA1D, TNNC2, CACNA2D1, CACNB2, NR3C2, PDE1B, TNNC1	-0.8324879218499862	1.3148811756593919	<0.0001
113	DB00831	Trifluoperazine	For the treatment of anxiety disorders, depressive symptoms secondary to anxiety and agitation.	CALM1, S100A4, DRD2, ADRA1A, TNNC1, CALY	-0.8204309533911396	1.4736272371338297	<0.0001
114	DB01100	Pimozide	Used for the suppression of motor and phonic tics in patients with Tourette's Disorder who have failed to respond satisfactorily to standard treatment.	CALM1, DRD3, DRD2, KCNH2	-0.8075643291460523	1.4876970379281695	<0.0001
115	DB02116	Olomoucine		CDK1, CDK5, CDK2, MAPK1	-0.8013963472002293	-1.8452786625221913	<0.0001
116	DB08080	Latrunculin B		SPIRE2, MRTFA, ACTA1	-0.7661752297607524	1.971468643596828	<0.0001
117	DB05470	VX-702	Investigated for use/treatment in coronary artery disease, inflammatory disorders (unspecified), and rheumatoid arthritis.	IL1B, MAPK14, TNF, IL6	-0.7504613713796999	1.3161504936889021	<0.0001
118	DB01054	Nitrendipine	For the treatment of mild to moderate hypertension	CACNA2D2, CACNA1S, CACNA1H, CACNA1C, CACNA1D, CACNA2D1, CACNB2	-0.7468225549813631	-1.3936902355814298	<0.0001
119	DB05294	Vandetanib	Vandetanib is currently approved as an alternative to local therapies for both unresectable and disseminated disease. Because Vandetanib can prolong the Q-T interval, it is contraindicated for use in patients with serious cardiac complications such as congenital long QT syndrome and uncompensated heart failure. 	PTK6, VEGFA, TEK, EGFR, RET	-0.7021392384519659	-2.3559038809660593	<0.0001
120	DB00622	Nicardipine	Used for the management of patients with chronic stable angina and for the treatment of hypertension.	CHRM1, PDE1A, CALM1, CACNA1C, CACNA1D, CHRM2, CHRM4, CACNB2, CACNA2D1, ADRA1A, PDE1B, CHRM5, ADRA1B, CHRM3, ADRA1D	-0.6735483895898527	2.350458673824786	<0.0001
121	DB00598	Labetalol	Labetalol injections are indicated to control blood pressure in severe hypertension.[L7727] Labetalol tablets are indicated alone or in combination with antihypertensives like thiazides and loop diuretics to manage hypertension.[L7730]	ADRB1, ADRB2, ADRA1A	-0.657973237736722	-1.3616193466136775	<0.0001
122	DB14649	Dexamethasone acetate		NOS2, NR0B1, NR3C1, NR1I2, ANXA1	-0.6405931912547242	-1.4920006367281664	<0.0001
